epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,757.469,1.04345,1.25456,1.15345,0.80234,0.67890,0.87345,0.68890,1.29234,1.25456,1.29234,0.0074026,0.0074026,0.0074026
41,775.672,1.04012,1.24901,1.15012,0.80456,0.68456,0.87789,0.69234,1.29012,1.24901,1.29012,0.007336,0.007336,0.007336
42,793.843,1.03678,1.24345,1.14678,0.80678,0.69012,0.88234,0.69567,1.28789,1.24345,1.28789,0.0072694,0.0072694,0.0072694
43,812.066,1.03345,1.23789,1.14345,0.80901,0.69567,0.88678,0.69901,1.28567,1.23789,1.28567,0.0072028,0.0072028,0.0072028
44,830.458,1.03012,1.23234,1.14012,0.81123,0.70123,0.89123,0.70234,1.28345,1.23234,1.28345,0.0071362,0.0071362,0.0071362
45,848.62,1.02678,1.22678,1.13678,0.81345,0.70678,0.89567,0.70567,1.28123,1.22678,1.28123,0.0070696,0.0070696,0.0070696
46,867.282,1.02345,1.22123,1.13345,0.81567,0.71234,0.90012,0.70890,1.27901,1.22123,1.27901,0.007003,0.007003,0.007003
47,886.088,1.02012,1.21567,1.13012,0.81789,0.71789,0.90456,0.71234,1.27678,1.21567,1.27678,0.0069364,0.0069364,0.0069364
48,905.018,1.01678,1.21012,1.12678,0.82012,0.72345,0.90901,0.71567,1.27456,1.21012,1.27456,0.0068698,0.0068698,0.0068698
49,923.726,1.01345,1.20456,1.12345,0.82234,0.72890,0.91345,0.71890,1.27234,1.20456,1.27234,0.0068032,0.0068032,0.0068032
50,942.587,1.01012,1.19901,1.12012,0.82456,0.73456,0.91789,0.72234,1.27012,1.19901,1.27012,0.0067366,0.0067366,0.0067366
51,961.598,1.00678,1.19345,1.11678,0.82678,0.74012,0.92234,0.72567,1.26789,1.19345,1.26789,0.00667,0.00667,0.00667
52,980.093,1.00345,1.18789,1.11345,0.82901,0.74567,0.92678,0.72901,1.26567,1.18789,1.26567,0.0066034,0.0066034,0.0066034
53,998.113,1.00012,1.18234,1.11012,0.83123,0.75123,0.93123,0.73234,1.26345,1.18234,1.26345,0.0065368,0.0065368,0.0065368
54,1016.15,0.99678,1.17678,1.10678,0.83345,0.75678,0.93567,0.73567,1.26123,1.17678,1.26123,0.0064702,0.0064702,0.0064702
55,1034.39,0.99345,1.17123,1.10345,0.83567,0.76234,0.94012,0.73890,1.25901,1.17123,1.25901,0.0064036,0.0064036,0.0064036
56,1052.53,0.99012,1.16567,1.10012,0.83789,0.76789,0.94456,0.74234,1.25678,1.16567,1.25678,0.006337,0.006337,0.006337
57,1070.58,0.98678,1.16012,1.09678,0.84012,0.77345,0.94901,0.74567,1.25456,1.16012,1.25456,0.0062704,0.0062704,0.0062704
58,1088.65,0.98345,1.15456,1.09345,0.84234,0.77890,0.95345,0.74890,1.25234,1.15456,1.25234,0.0062038,0.0062038,0.0062038
59,1106.86,0.98012,1.14901,1.09012,0.84456,0.78456,0.95789,0.75234,1.25012,1.14901,1.25012,0.0061372,0.0061372,0.0061372
60,1124.92,0.97678,1.14345,1.08678,0.84678,0.79012,0.96234,0.75567,1.24789,1.14345,1.24789,0.0060706,0.0060706,0.0060706
61,1143.28,0.97345,1.13789,1.08345,0.84901,0.79567,0.96678,0.75901,1.24567,1.13789,1.24567,0.006004,0.006004,0.006004
62,1161.24,0.97012,1.13234,1.08012,0.85123,0.80123,0.97123,0.76234,1.24345,1.13234,1.24345,0.0059374,0.0059374,0.0059374
63,1179.15,0.96678,1.12678,1.07678,0.85345,0.80678,0.97567,0.76567,1.24123,1.12678,1.24123,0.0058708,0.0058708,0.0058708
64,1197.37,0.96345,1.12123,1.07345,0.85567,0.81234,0.98012,0.76890,1.23901,1.12123,1.23901,0.0058042,0.0058042,0.0058042
65,1215.48,0.96012,1.11567,1.07012,0.85789,0.81789,0.98456,0.77234,1.23678,1.11567,1.23678,0.0057376,0.0057376,0.0057376
66,1233.49,0.95678,1.11012,1.06678,0.86012,0.82345,0.98901,0.77567,1.23456,1.11012,1.23456,0.005671,0.005671,0.005671
67,1251.76,0.95345,1.10456,1.06345,0.86234,0.82890,0.99345,0.77890,1.23234,1.10456,1.23234,0.0056044,0.0056044,0.0056044
68,1269.85,0.95012,1.09901,1.06012,0.86456,0.83456,0.99789,0.78234,1.23012,1.09901,1.23012,0.0055378,0.0055378,0.0055378
69,1287.83,0.94678,1.09345,1.05678,0.86678,0.84012,1.00123,0.78567,1.22789,1.09345,1.22789,0.0054712,0.0054712,0.0054712
70,1305.87,0.94345,1.08789,1.05345,0.86890,0.84567,1.00456,0.78890,1.22567,1.08789,1.22567,0.0054046,0.0054046,0.0054046
71,1324.29,0.94012,1.08234,1.05012,0.87101,0.85123,1.00789,0.79234,1.22345,1.08234,1.22345,0.005338,0.005338,0.005338
72,1342.6,0.93678,1.07678,1.04678,0.87312,0.85678,1.01123,0.79567,1.22123,1.07678,1.22123,0.0052714,0.0052714,0.0052714
73,1360.91,0.93345,1.07123,1.04345,0.87523,0.86234,1.01456,0.79901,1.21901,1.07123,1.21901,0.0052048,0.0052048,0.0052048
74,1379.07,0.93012,1.06567,1.04012,0.87734,0.86789,1.01789,0.80234,1.21678,1.06567,1.21678,0.0051382,0.0051382,0.0051382
75,1397.03,0.92678,1.06012,1.03678,0.87945,0.87345,1.02123,0.80567,1.21456,1.06012,1.21456,0.0050716,0.0050716,0.0050716
76,1415.38,0.92345,1.05456,1.03345,0.88156,0.87890,1.02456,0.80890,1.21234,1.05456,1.21234,0.005005,0.005005,0.005005
77,1433.31,0.92012,1.04901,1.03012,0.88367,0.88456,1.02789,0.81234,1.21012,1.04901,1.21012,0.0049384,0.0049384,0.0049384
78,1451.59,0.91678,1.04345,1.02678,0.88578,0.89012,1.03123,0.81567,1.20789,1.04345,1.20789,0.0048718,0.0048718,0.0048718
79,1469.82,0.91345,1.03789,1.02345,0.88789,0.89567,1.03456,0.81901,1.20567,1.03789,1.20567,0.0048052,0.0048052,0.0048052
80,1487.99,0.91012,1.03234,1.02012,0.89000,0.90123,1.03789,0.82234,1.20345,1.03234,1.20345,0.0047386,0.0047386,0.0047386
81,1506.37,0.90678,1.02678,1.01678,0.89211,0.90678,1.04123,0.82567,1.20123,1.02678,1.20123,0.004672,0.004672,0.004672
82,1524.83,0.90345,1.02123,1.01345,0.89422,0.91234,1.04456,0.82901,1.19901,1.02123,1.19901,0.0046054,0.0046054,0.0046054
83,1543.79,0.90012,1.01567,1.01012,0.89633,0.91789,1.04789,0.83234,1.19678,1.01567,1.19678,0.0045388,0.0045388,0.0045388
84,1562.41,0.89678,1.01012,1.00678,0.89844,0.92345,1.05123,0.83567,1.19456,1.01012,1.19456,0.0044722,0.0044722,0.0044722
85,1581.24,0.89345,1.00456,1.00345,0.90055,0.92901,1.05456,0.83901,1.19234,1.00456,1.19234,0.0044056,0.0044056,0.0044056
86,1600.33,0.89012,0.99901,1.00012,0.90266,0.93456,1.05789,0.84234,1.19012,0.99901,1.19012,0.004339,0.004339,0.004339
87,1618.89,0.88678,0.99345,0.99678,0.90477,0.94012,1.06123,0.84567,1.18789,0.99345,1.18789,0.0042724,0.0042724,0.0042724
88,1636.83,0.88345,0.98789,0.99345,0.90688,0.94567,1.06456,0.84901,1.18567,0.98789,1.18567,0.0042058,0.0042058,0.0042058
89,1655.06,0.88012,0.98234,0.99012,0.90899,0.95123,1.06789,0.85234,1.18345,0.98234,1.18345,0.0041392,0.0041392,0.0041392
90,1673.01,0.87678,0.97678,0.98678,0.91110,0.95678,1.07123,0.85567,1.18123,0.97678,1.18123,0.0040726,0.0040726,0.0040726
91,1692.10,0.87345,0.97123,0.98345,0.91321,0.96234,1.07456,0.85901,1.17901,0.97123,1.17901,0.004006,0.004006,0.004006
92,1711.63,0.87012,0.96567,0.98012,0.91532,0.96789,1.07789,0.86234,1.17678,0.96567,1.17678,0.0039394,0.0039394,0.0039394
93,1730.50,0.86678,0.96012,0.97678,0.91743,0.97345,1.08123,0.86567,1.17456,0.96012,1.17456,0.0038728,0.0038728,0.0038728
94,1749.32,0.86345,0.95456,0.97345,0.91954,0.97901,1.08456,0.86901,1.17234,0.95456,1.17234,0.0038062,0.0038062,0.0038062
95,1768.65,0.86012,0.94901,0.97012,0.92165,0.98456,1.08789,0.87234,1.17012,0.94901,1.17012,0.0037396,0.0037396,0.0037396
96,1786.61,0.85678,0.94345,0.96678,0.92376,0.99012,1.09123,0.87567,1.16789,0.94345,1.16789,0.003673,0.003673,0.003673
97,1805.11,0.85345,0.93789,0.96345,0.92587,0.99567,1.09456,0.87901,1.16567,0.93789,1.16567,0.0036064,0.0036064,0.0036064
98,1824.37,0.85012,0.93234,0.96012,0.92798,1.00123,1.09789,0.88234,1.16345,0.93234,1.16345,0.0035398,0.0035398,0.0035398
99,1843.47,0.84678,0.92678,0.95678,0.93009,1.00678,1.10123,0.88567,1.16123,0.92678,1.16123,0.0034732,0.0034732,0.0034732
100,1862.44,0.84345,0.92123,0.95345,0.93220,1.01234,1.10456,0.88901,1.15901,0.92123,1.15901,0.0034066,0.0034066,0.0034066
101,1881.77,0.84012,0.91567,0.95012,0.93345,1.01678,1.10723,0.89178,1.15689,0.91567,1.15689,0.0033400,0.0033400,0.0033400
102,1900.36,0.83678,0.91012,0.94678,0.93467,1.02123,1.10967,0.89423,1.15467,0.91012,1.15467,0.0032734,0.0032734,0.0032734
103,1918.49,0.83345,0.90456,0.94345,0.93589,1.02567,1.11201,0.89678,1.15245,0.90456,1.15245,0.0032068,0.0032068,0.0032068
104,1936.66,0.83012,0.89901,0.94012,0.93701,1.03012,1.11434,0.89923,1.15023,0.89901,1.15023,0.0031402,0.0031402,0.0031402
105,1954.81,0.82678,0.89345,0.93678,0.93812,1.03456,1.11667,0.90167,1.14801,0.89345,1.14801,0.0030736,0.0030736,0.0030736
106,1973.17,0.82345,0.88789,0.93345,0.93923,1.03901,1.11890,0.90401,1.14578,0.88789,1.14578,0.0030070,0.0030070,0.0030070
107,1991.38,0.82012,0.88234,0.93012,0.94034,1.04345,1.12112,0.90634,1.14356,0.88234,1.14356,0.0029404,0.0029404,0.0029404
108,2009.20,0.81678,0.87678,0.92678,0.94145,1.04789,1.12345,0.90878,1.14134,0.87678,1.14134,0.0028738,0.0028738,0.0028738
109,2027.39,0.81345,0.87123,0.92345,0.94256,1.05234,1.12567,0.91112,1.13912,0.87123,1.13912,0.0028072,0.0028072,0.0028072
110,2045.69,0.81012,0.86567,0.92012,0.94367,1.05678,1.12789,0.91345,1.13689,0.86567,1.13689,0.0027406,0.0027406,0.0027406
111,2063.92,0.80678,0.86012,0.91678,0.94478,1.06123,1.13012,0.91589,1.13467,0.86012,1.13467,0.0026740,0.0026740,0.0026740
112,2082.17,0.80345,0.85456,0.91345,0.94589,1.06567,1.13234,0.91823,1.13245,0.85456,1.13245,0.0026074,0.0026074,0.0026074
113,2100.99,0.80012,0.84901,0.91012,0.94690,1.07012,1.13456,0.92056,1.13023,0.84901,1.13023,0.0025408,0.0025408,0.0025408
114,2120.64,0.79678,0.84345,0.90678,0.94791,1.07456,1.13678,0.92289,1.12801,0.84345,1.12801,0.0024742,0.0024742,0.0024742
115,2140.21,0.79345,0.83789,0.90345,0.94892,1.07901,1.13890,0.92523,1.12578,0.83789,1.12578,0.0024076,0.0024076,0.0024076
116,2159.66,0.79012,0.83234,0.90012,0.94993,1.08345,1.14101,0.92756,1.12356,0.83234,1.12356,0.0023410,0.0023410,0.0023410
117,2179.79,0.78678,0.82678,0.89678,0.95094,1.08789,1.14323,0.92989,1.12134,0.82678,1.12134,0.0022744,0.0022744,0.0022744
118,2198.00,0.78345,0.82123,0.89345,0.95195,1.09234,1.14545,0.93223,1.11912,0.82123,1.11912,0.0022078,0.0022078,0.0022078
119,2216.05,0.78012,0.81567,0.89012,0.95296,1.09678,1.14767,0.93456,1.11689,0.81567,1.11689,0.0021412,0.0021412,0.0021412
120,2235.26,0.77678,0.81012,0.88678,0.95397,1.10123,1.14989,0.93689,1.11467,0.81012,1.11467,0.0020746,0.0020746,0.0020746
121,2254.25,0.77345,0.80456,0.88345,0.95498,1.10567,1.15201,0.93923,1.11245,0.80456,1.11245,0.0020080,0.0020080,0.0020080
122,2273.05,0.77012,0.79901,0.88012,0.95599,1.11012,1.15412,0.94156,1.11023,0.79901,1.11023,0.0019414,0.0019414,0.0019414
123,2292.11,0.76678,0.79345,0.87678,0.95700,1.11456,1.15634,0.94389,1.10801,0.79345,1.10801,0.0018748,0.0018748,0.0018748
124,2310.71,0.76345,0.78789,0.87345,0.95801,1.11901,1.15856,0.94623,1.10578,0.78789,1.10578,0.0018082,0.0018082,0.0018082
125,2328.93,0.76012,0.78234,0.87012,0.95902,1.12345,1.16078,0.94856,1.10356,0.78234,1.10356,0.0017416,0.0017416,0.0017416
126,2347.51,0.75678,0.77678,0.86678,0.96003,1.12789,1.16289,0.95089,1.10134,0.77678,1.10134,0.0016750,0.0016750,0.0016750
127,2366.49,0.75345,0.77123,0.86345,0.96104,1.13234,1.16501,0.95323,1.09912,0.77123,1.09912,0.0016084,0.0016084,0.0016084
128,2385.54,0.75012,0.76567,0.86012,0.96205,1.13678,1.16723,0.95556,1.09689,0.76567,1.09689,0.0015418,0.0015418,0.0015418
129,2404.34,0.74678,0.76012,0.85678,0.96306,1.14123,1.16945,0.95789,1.09467,0.76012,1.09467,0.0014752,0.0014752,0.0014752
130,2423.46,0.74345,0.75456,0.85345,0.96407,1.14567,1.17167,0.96023,1.09245,0.75456,1.09245,0.0014086,0.0014086,0.0014086
131,2442.55,0.74012,0.74901,0.85012,0.96508,1.15012,1.17378,0.96256,1.09023,0.74901,1.09023,0.0013420,0.0013420,0.0013420
132,2462.31,0.73678,0.74345,0.84678,0.96609,1.15456,1.17590,0.96489,1.08801,0.74345,1.08801,0.0012754,0.0012754,0.0012754
133,2481.52,0.73345,0.73789,0.84345,0.96710,1.15901,1.17812,0.96723,1.08578,0.73789,1.08578,0.0012088,0.0012088,0.0012088
134,2501.56,0.73012,0.73234,0.84012,0.96811,1.16345,1.18034,0.96956,1.08356,0.73234,1.08356,0.0011422,0.0011422,0.0011422
135,2520.10,0.72678,0.72678,0.83678,0.96912,1.16789,1.18245,0.97189,1.08134,0.72678,1.08134,0.0010756,0.0010756,0.0010756
136,2538.80,0.72345,0.72123,0.83345,0.97013,1.17234,1.18456,0.97412,1.07912,0.72123,1.07912,0.0010090,0.0010090,0.0010090
137,2558.44,0.72012,0.71567,0.83012,0.97114,1.17678,1.18678,0.97645,1.07689,0.71567,1.07689,0.0009424,0.0009424,0.0009424
138,2577.94,0.71678,0.71012,0.82678,0.97215,1.18123,1.18890,0.97878,1.07467,0.71012,1.07467,0.0008758,0.0008758,0.0008758
139,2597.32,0.71345,0.70456,0.82345,0.97316,1.18567,1.19101,0.98112,1.07245,0.70456,1.07245,0.0008092,0.0008092,0.0008092
140,2616.84,0.71012,0.69901,0.82012,0.97417,1.19012,1.19312,0.98345,1.07023,0.69901,1.07023,0.0007426,0.0007426,0.0007426
141,2635.41,0.70678,0.69345,0.81678,0.97518,1.19456,1.19534,0.98578,1.06801,0.69345,1.06801,0.0006760,0.0006760,0.0006760
142,2652.95,0.70345,0.68789,0.81345,0.97619,1.19901,1.19745,0.98812,1.06578,0.68789,1.06578,0.0006094,0.0006094,0.0006094
143,2670.50,0.70012,0.68234,0.81012,0.97720,1.20345,1.19956,0.99045,1.06356,0.68234,1.06356,0.0005428,0.0005428,0.0005428
144,2687.86,0.69678,0.67678,0.80678,0.97821,1.20789,1.20167,0.99278,1.06134,0.67678,1.06134,0.0004762,0.0004762,0.0004762
145,2705.00,0.69345,0.67123,0.80345,0.97922,1.21234,1.20378,0.99501,1.05912,0.67123,1.05912,0.0004096,0.0004096,0.0004096
146,2722.29,0.69012,0.66567,0.80012,0.98023,1.21678,1.20589,0.99734,1.05689,0.66567,1.05689,0.0003430,0.0003430,0.0003430
147,2739.51,0.68678,0.66012,0.79678,0.98124,1.22123,1.20790,0.99967,1.05467,0.66012,1.05467,0.0002764,0.0002764,0.0002764
148,2756.88,0.68345,0.65456,0.79345,0.98225,1.22567,1.21001,1.00189,1.05245,0.65456,1.05245,0.0002098,0.0002098,0.0002098
149,2774.39,0.68012,0.64901,0.79012,0.98326,1.23012,1.21212,1.00412,1.05023,0.64901,1.05023,0.0001432,0.0001432,0.0001432
150,2791.88,0.67678,0.64345,0.78678,0.78412,0.71234,0.81345,0.63789,1.04801,0.64345,1.04801,0.0000766,0.0000766,0.0000766
